gene1,gene2,value,rank
AT5G03620,AT2G38900,0.007474770499526525,12
AT1G72300,AT5G59190,0.015119149987291315,12
AT1G12940,AT3G59880,0.014575049672908003,12
AT2G19170,AT4G28140,0.012576882046235029,12
AT2G04160,AT5G51750,0.014026285205661449,12
AT2G06050,AT4G27730,0.013073195866525694,12
AT1G51890,AT2G42360,0.02791655989400046,12
AT2G19170,AT5G51750,0.01261433913054525,12
AT3G48650,AT2G44490,0.017787257898263173,12
AT1G30600,AT1G37130,0.009330977609343628,12
AT4G21870,AT2G15620,0.008074048929771621,12
AT1G77380,AT3G49780,0.020390228692963887,12
AT1G77380,AT1G65690,0.018632453469157758,12
AT4G34980,AT1G65690,0.025529332658488883,12
AT2G22122,AT5G54160,0.008335844432633037,12
AT1G51620,AT1G19380,0.0371492649850365,12
AT1G51800,AT1G30720,0.03836580786960776,12
AT2G01950,AT5G59100,0.009619676521130936,12
AT2G01950,AT4G26330,0.00799981441610992,12
AT5G04140,AT5G53460,0.020517327527310482,12
AT5G04140,AT4G34980,0.01966341747832572,12
AT1G61360,AT3G22060,0.034435509212509124,12
AT1G20160,AT5G59100,0.011356842096118976,12
AT4G21410,AT1G61380,0.009283973956826166,12
AT3G50470,AT2G37710,0.0190599476064544,12
AT1G70530,AT4G20860,0.0140867996520174,12
AT5G39580,AT4G01700,0.030160262973708125,12
AT5G01540,AT4G38560,0.032480771762107626,12
AT2G01950,AT1G62340,0.008053624017545915,12
AT2G25000,AT2G25470,0.016256358527314455,12
AT5G01540,AT2G44490,0.02986709946991193,12
AT4G21326,AT1G32970,0.009750225516148056,12
AT4G08850,AT5G39580,0.032266206844361885,12
AT2G44380,AT3G26210,0.01965504449235689,12
AT4G26330,AT1G66220,0.007365426099903758,12
AT1G52200,AT5G48430,0.03930005488305055,12
AT3G19010,AT1G61360,0.03144174161318582,12
AT3G19010,AT4G24160,0.027791264994087208,12
AT3G45060,AT2G30360,0.013179802201637152,12
AT5G53110,AT5G50200,0.0237932726562668,12
AT1G64280,AT3G50480,0.018154084063910805,12
